"","time"
"1051",18524
"1052",19273
"1053",19875
"1054",20477
"1055",21080
"1056",21682
"1057",23807
"1058",24409
"1059",25143
"1060",25746
"1061",26475
"1062",27078
"1063",29462
"1064",30065
"1065",30825
"1066",4955
"1067",6168
"1068",7161
"1069",11171
"1070",11865
"1071",13695
"1072",14296
"1073",14939
"1074",15540
"1075",16142
"1076",16744
"1077",17346
"1078",17948
"1079",18550
"1080",19291
"1081",21028
"1082",21630
"1083",22241
"1084",23041
"1085",23642
"1086",28235
"1087",28838
"1088",29440
"1089",30042
"1090",30644
"1091",31316
"1092",7970
"1093",9236
"1094",10068
"1095",10672
"1096",11452
"1097",12090
"1098",13897
"1099",14764
"1100",17369
"1101",21243
"1102",23151
"1103",23753
"1104",24355
"1105",25249
"1106",26034
"1107",26669
"1108",27270
"1109",27913
"1110",28514
"1111",29117
"1112",29882
"1113",30896
"1114",34451
"1115",35270
"1116",32816
"1117",33417
"1118",34629
"1119",35844
"1120",5298
"1121",7809
"1122",8411
"1123",9020
"1124",10391
"1125",11020
"1126",11621
"1127",12256
"1128",13434
"1129",14062
"1130",14664
"1131",25471
"1132",26144
"1133",27452
"1134",28056
"1135",28784
"1136",29386
"1137",30686
"1138",32173
"1139",32835
"1140",33484
"1141",34085
"1142",34688
"1143",2468
"1144",5011
"1145",8623
"1146",9225
"1147",9829
"1148",10432
"1149",14751
"1150",16739
"1151",17341
"1152",17943
"1153",19388
"1154",20202
"1155",23284
"1156",23886
"1157",24568
"1158",25170
"1159",25774
"1160",26377
"1161",26978
"1162",28942
"1163",30469
"1164",32355
"1165",33829
"1166",4586
"1167",6120
"1168",6749
"1169",8070
"1170",8740
"1171",9343
"1172",10085
"1173",11575
"1174",12180
"1175",12782
"1176",13541
"1177",14177
"1178",14779
"1179",15381
"1180",18990
"1181",23186
"1182",25590
"1183",26281
"1184",27675
"1185",28278
"1186",28881
"1187",29489
"1188",30391
"1189",31321
"1190",33062
"1191",34544
"1192",35653
"1193",32637
"1194",35801
"1195",16773
"1196",18477
"1197",19079
"1198",19683
"1199",20285
"1200",20887
"1201",23407
"1202",24141
"1203",27250
"1204",27854
"1205",28455
"1206",29111
"1207",29715
"1208",30316
"1209",31070
"1210",31671
"1211",34333
"1212",2436
"1213",3651
"1214",7175
"1215",7777
"1216",8380
"1217",9339
"1218",9984
"1219",10586
"1220",11725
"1221",12334
"1222",12938
"1223",13788
"1224",15597
"1225",16200
"1226",19299
"1227",20115
"1228",20872
"1229",21685
"1230",22288
"1231",23606
"1232",24752
"1233",25435
