SampleSize,Set,Memory_Percentage,Failure_Percentage
90,5,0.76,0.0952381
90,5,0.8125,0
90,5,0.848485,0.0344828
90,5,0.837838,0
90,5,0.736842,0
90,5,0.8,0.0909091
90,5,0.5,0
90,5,0.818182,0.0357143
90,5,0.5,0
90,5,0.846154,0.0833333
90,5,0.742857,0.037037
90,5,0.828571,0
90,5,0.884615,0.0416667
90,5,NA,NA
90,5,0.913043,0
90,5,0.75,0.0769231
90,5,0.769231,0
90,5,0.793103,0.0416667
90,5,0.705882,0.0769231
90,5,1,0
90,5,0.814815,0
90,5,0.793103,0.0416667
90,5,0.914286,0
90,5,0.918919,0
90,5,0.828571,0.0333333
90,5,0.925926,0.0384615
90,5,0.9,0.027027
90,5,0.809524,0
90,5,0.918919,0
90,5,0.777778,0
90,5,0.757576,0
90,5,0.9375,0
90,5,0.714286,0.047619
90,5,1,0
90,5,0.947368,0
90,5,0.75,0
90,5,0.846154,0.0294118
90,5,0.8,0
90,5,0.73913,0
90,5,0.827586,0.04
90,5,0.741935,0.0416667
90,5,0.727273,0.111111
90,5,0.857143,0
90,5,0.766667,0
90,5,0.83871,0.037037
90,5,0.809524,0
90,5,0.8125,0
90,5,0.869565,0
90,5,0.894737,0
90,5,0.774194,0
90,5,0.894737,0
90,5,0.814815,0
90,5,0.92,0
90,5,0.4,0
90,5,0.864865,0
90,5,0.884615,0.0416667
90,5,0.810811,0.0909091
90,5,0.771429,0
90,5,0.9,0
90,5,0.837838,0
90,5,0.805556,0
90,5,0.84375,0
90,5,0.846154,0
90,5,0.897436,0
90,5,0.818182,0
90,5,0.866667,0
90,5,0.84375,0
90,5,0.782609,0
90,5,0.869565,0
90,5,0.909091,0
90,5,0.5,0
90,5,0.73913,0
90,5,1,0
90,6,0.757576,0
90,6,0.848485,0.0967742
90,6,0.636364,0
90,6,0.857143,0
90,6,0.904762,0
90,6,0.83871,0
90,6,0.777778,0.0454545
90,6,0.806452,0.0740741
90,6,0.8,0
90,6,0.820513,0.0588235
90,6,0.809524,0
90,6,0.818182,0
90,6,0.774194,0.04
90,6,0.85,0
90,6,0.8125,0
90,6,0.823529,0
90,6,0.833333,0
90,6,0.923077,0
90,6,0.923077,0.027027
90,6,0.794118,0.0357143
90,6,0.782609,0
90,6,0.833333,0
90,6,0.783784,0
90,6,0.952381,0
90,6,0.857143,0
90,6,NA,NA
90,6,0.888889,0
90,6,0.842105,0.0588235
90,6,0.75,0
90,6,0.72,0
90,6,NA,NA
90,6,0.894737,0
90,6,0.885714,0.03125
90,6,0.75,0
90,6,0.857143,0
90,6,0.827586,0
90,6,0.75,0.0526316
90,6,0.823529,0
90,6,0.757576,0
90,6,0.814815,0
90,6,0.923077,0
90,6,0.851852,0.0416667
90,6,0.842105,0
90,6,0.862069,0.166667
90,6,0.90625,0
90,6,0.83871,0
90,6,0.870968,0.0357143
90,6,0.764706,0
90,6,0.625,0.0625
90,6,0.851852,0
90,6,0.818182,0
90,6,0.909091,0.0322581
90,6,0.727273,0
90,6,0.823529,0
90,6,0.857143,0
90,6,0.884615,0
90,6,0.772727,0.0555556
90,6,0.789474,0
90,6,0.9,0
90,6,0.823529,0
90,6,0.826087,0
90,6,0.833333,0
90,6,0.794872,0
90,6,0.807692,0
90,6,0.928571,0
90,6,0.894737,0.0555556
90,6,0.9375,0
90,6,0.9,0
90,6,0.782609,0.0526316
90,6,0.806452,0
90,6,NA,NA
90,6,0.827586,0
90,6,0.818182,0.0357143
90,6,0.820513,0.030303
90,6,0.875,0
90,6,0.851852,0.0416667
90,6,0.76,0
90,6,0.828571,0.194444
90,6,0.83871,0.037037
90,6,0.814815,0.0434783
90,6,0.8125,0.0714286
90,6,0.842105,0
90,6,0.714286,0
90,6,0.777778,0
90,6,0.862069,0
90,6,0.774194,0
90,6,NA,NA
90,6,0.742857,0.037037
90,6,0.714286,0.0740741
90,6,0.777778,0
90,7,0.666667,0
90,7,0.695652,0
90,7,0.727273,0
90,7,0.756757,0
90,7,NA,NA
90,7,0.892857,0
90,7,0.833333,0.047619
90,7,0.833333,0
90,7,0.5,0
90,7,0.857143,0
90,7,0.848485,0
90,7,0.851852,0
90,7,0.875,0
