"","time","fault","ClassPer"
"408",16714,100,100
"409",17316,NA,79.7309
"410",17918,NA,79.3077
"411",18539,100,100
"412",20395,NA,82.6717
"413",20997,NA,84.8394
"414",21599,NA,93.3976
"415",23187,NA,79.1247
"416",24633,NA,95.9471
"417",25739,NA,73.9849
"418",26354,100,100
"419",27539,NA,97.4994
"420",28159,NA,99.8335
"421",28760,NA,99.1449
"422",29410,NA,99.3355
"423",4616,NA,83.9595
"424",6168,NA,80.6631
"425",6849,NA,96.8498
"426",8268,NA,97.511
"427",8885,NA,95.879
"428",10099,NA,83.1951
"429",10875,NA,83.666
"430",11479,NA,99.6667
"431",12080,NA,96.4269
"432",14037,NA,99.8335
"433",16956,NA,81.6497
"434",18364,NA,77.6218
"435",19899,NA,77.7542
"436",22864,NA,95.9436
"437",23466,NA,79.1502
"438",24068,NA,93.5837
"439",25165,NA,99.7778
"440",26411,100,100
"441",28194,NA,99.8335
"442",28795,NA,96.4269
"443",30237,NA,70.8382
"444",31397,NA,98.0314
"445",31999,NA,76.3429
"446",35135,NA,99.5565
"447",2778,NA,90.5537
"448",7548,NA,93.0482
"449",8739,NA,66.4726
"450",9373,NA,69.2364
"451",10095,NA,98.8346
"452",10712,100,100
"453",12034,NA,73.5655
"454",12636,NA,85.6065
"455",13238,NA,91.0081
"456",13842,NA,99.5012
"457",14443,NA,96.2658
"458",15111,NA,97.3059
"459",15719,NA,85.9709
"460",16320,NA,89.4113
"461",17364,NA,93.8917
"462",18117,NA,69.1628
"463",18988,NA,72.7992
"464",19589,NA,98.4013
"465",20191,NA,93.5687
"466",20795,NA,88.4495
"467",21396,NA,94.8541
"468",22030,NA,99.4681
"469",22632,NA,88.5831
"470",23282,NA,91.8976
"471",23885,NA,98.6361
"472",25170,NA,94.2258
"473",25774,NA,99.5012
"474",26512,NA,99.1668
"475",28247,NA,99.8335
"476",28981,NA,96.8399
"477",29651,100,100
"478",30268,NA,99.4401
"479",30869,NA,77.8104
"480",31481,NA,85.6813
"481",32811,NA,86.4565
"482",34045,NA,99.7783
"483",35334,NA,77.3554
"484",35958,NA,85.1267
"485",8930,NA,99.1679
"486",9573,NA,99.6667
"487",10501,NA,68.313
"488",11162,NA,75.2031
"489",11953,100,100
"490",12809,NA,74.3968
"491",13411,NA,98.2988
"492",14013,100,100
"493",14615,NA,93.2351
"494",15230,NA,99.3174
"495",15832,NA,81.5909
"496",16434,NA,84.1829
"497",17114,NA,87.1872
"498",18132,NA,94.2217
"499",18735,NA,99.486
"500",19337,NA,96.9576
"501",21458,NA,83.177
"502",22060,NA,91.3164
"503",22662,100,100
"504",23266,NA,85.6365
"505",24306,NA,76.1978
"506",25202,NA,85.4194
"507",26598,NA,99.6667
"508",27199,100,100
"509",28388,NA,68.313
"510",28990,100,100
"511",29798,NA,99.5001
"512",30448,NA,83.7064
"513",31049,NA,99.4878
"514",31651,NA,98.9285
"515",32633,NA,98.3179
"516",2927,NA,79.8912
"517",4304,NA,90.7792
"518",4905,NA,78.7717
"519",5535,NA,68.313
"520",7793,NA,84.5154
"521",9136,NA,98.9247
"522",9781,NA,99.6667
"523",10530,NA,68.313
"524",11196,NA,99.6667
"525",11948,NA,98.8047
"526",12665,NA,97.8335
"527",13616,NA,84.2211
"528",14945,100,100
"529",15824,NA,91.0078
"530",18205,NA,77.6575
"531",18964,100,100
"532",19568,NA,91.2723
"533",20325,NA,93.448
"534",20926,NA,89.0863
"535",24863,NA,80.3832
"536",25464,NA,99.4875
"537",26156,100,100
"538",26773,NA,99.8335
"539",27374,NA,77.7134
"540",28152,NA,69.4467
"541",28900,NA,99.6672
"542",29502,NA,68.196
"543",30104,NA,98.9247
"544",30707,NA,84.0754
"545",31310,NA,88.3256
"546",31923,NA,86.9344
"547",33096,100,100
"548",33698,NA,86.5515
"549",35158,NA,89.1392
"550",35759,NA,82.6964
"551",4000,NA,92.2145
"552",6090,NA,95.2414
"553",8371,NA,99.6579
"554",8973,NA,94.9958
"555",10862,NA,95.17
"556",11463,100,100
"557",12068,NA,99.3355
"558",15910,NA,74.2151
"559",16512,NA,83.666
"560",17114,NA,70.5088
"561",18576,NA,99.7783
"562",19800,NA,98.4013
"563",20402,NA,90.6035
"564",21004,NA,91.796
"565",21606,NA,91.8995
"566",26143,NA,81.6497
"567",26787,NA,98.9247
"568",27439,NA,99.5001
"569",28054,NA,99.6262
"570",28845,NA,98.0087
"571",32036,NA,81.5551
"572",32640,100,100
"573",35170,100,100
"574",35772,NA,79.2341
"575",1907,NA,78.0421
"576",4031,NA,99.7783
"577",5290,NA,99.7783
"578",6235,NA,83.666
"579",10253,NA,99.3339
"580",11143,100,100
"581",12378,100,100
"582",13711,NA,90.1891
"583",14346,NA,99.8335
"584",14948,NA,99.3355
"585",15549,100,100
"586",16151,100,100
"587",17046,NA,99.5565
"588",17725,NA,96.8942
"589",22736,NA,96.7993
"590",25893,100,100
"591",26496,100,100
"592",27118,NA,98.3421
"593",27747,NA,98.9247
"594",28349,NA,95.4206
"595",28951,100,100
"596",29573,100,100
"597",30175,NA,90.9553
"598",31281,NA,81.5551
"599",31885,NA,96.5162
"600",33125,NA,82.9411
"601",34014,NA,86.2647
"602",34727,NA,69.1169
"603",35330,NA,95.6235
"604",35934,NA,70.7107
"605",13049,NA,74.6008
"606",14297,NA,99.6667
"607",14900,NA,99.6667
"608",17040,NA,86.3561
"609",18255,NA,99.486
"610",20735,NA,81.0777
"611",21843,NA,92.391
"612",23232,NA,68.6597
"613",25087,NA,98.9011
"614",25691,NA,99.5001
"615",26469,NA,89.9662
"616",27366,100,100
"617",28280,100,100
"618",28883,100,100
"619",29485,NA,98.9247
"620",30228,NA,85.4306
"621",30829,NA,84.3345
"622",32821,NA,68.7773
"623",5020,NA,83.8664
"624",6647,NA,90.6192
"625",8229,100,100
"626",8832,NA,93.262
"627",9571,NA,93.9661
"628",10279,NA,99.1679
"629",11287,NA,84.5154
"630",11991,NA,99.8335
"631",12630,NA,99.7783
"632",13791,NA,83.666
"633",14543,NA,98.4013
"634",15907,NA,86.6329
"635",16689,NA,94.9718
"636",17293,NA,83.666
"637",17895,NA,89.0294
"638",18497,NA,83.1727
"639",19100,NA,85.0117
"640",19742,NA,72.4169
"641",20779,100,100
"642",21381,NA,95.4257
"643",25612,NA,98.3985
"644",26215,NA,99.4681
"645",26899,NA,99.8335
"646",27670,NA,99.5012
"647",28273,NA,99.5012
"648",8194,100,100
"649",8797,NA,84.8995
"650",9401,NA,99.3333
"651",10004,NA,99.6672
"652",11335,100,100
"653",12290,100,100
"654",12954,NA,73.822
"655",13564,100,100
"656",14166,100,100
"657",14770,NA,99.6672
"658",15371,NA,98.9436
"659",17482,NA,94.2018
"660",18092,NA,97.413
"661",18694,NA,79.8465
"662",19454,NA,92.5466
"663",21191,NA,73.6601
"664",21793,NA,94.6841
"665",22420,NA,73.6506
"666",24231,NA,83.6305
"667",25370,NA,99.5565
"668",26649,NA,68.313
"669",27252,NA,92.143
"670",29168,NA,98.9436
"671",30359,100,100
"672",30980,NA,99.438
"673",31582,NA,95.8725
"674",32542,NA,99.7783
"675",33144,NA,89.5998
"676",33746,NA,92.196
"677",34361,NA,82.4627
"678",34985,NA,91.4228
"679",35587,NA,81.0914
"680",1982,NA,69.7146
"681",2584,NA,93.4873
"682",3799,NA,88.4103
"683",4401,NA,89.8398
"684",5003,NA,95.5098
"685",5669,NA,93.7582
"686",7508,NA,99.486
"687",8110,NA,97.3688
"688",10940,NA,76.5144
"689",12048,NA,93.3409
"690",12666,NA,84.724
"691",14303,NA,98.4673
"692",16010,NA,82.0155
"693",22686,NA,99.438
"694",25514,NA,87.3972
"695",26378,NA,84.5154
"696",27192,NA,94.4317
"697",28229,NA,98.6689
"698",28832,NA,99.8335
"699",29434,NA,98.4673
"700",31232,NA,70.2408
"701",31998,NA,88.351
"702",32600,NA,99.486
"703",33202,NA,95.1855
"704",34638,NA,91.5219
"705",35293,NA,82.3013
"706",35897,NA,98.8771
"707",11865,100,100
"708",17538,NA,80.0309
"709",21037,NA,69.3927
"710",22823,NA,90.5188
"711",23424,NA,82.8876
"712",24027,NA,79.9198
"713",24629,NA,83.9811
"714",8827,NA,93.6994
"715",10039,100,100
"716",11331,NA,98.9247
"717",11935,NA,99.3333
