"","time"
"795",34097
"796",637
"797",1342
"798",1955
"799",3809
"800",5766
"801",11446
"802",13474
"803",31518
"804",9667
"805",10598
"806",13530
"807",14312
"808",16248
"809",19247
"810",34536
"811",1532
"812",2144
"813",2757
"814",4409
"815",6999
"816",7880
"817",12061
"818",15324
"819",19933
"820",27836
"821",34183
"822",6244
"823",6862
"824",8537
"825",9358
"826",10004
"827",10742
"828",12266
"829",29902
"830",31248
"831",32640
"832",35476
"833",600
"834",1311
"835",1923
"836",6526
"837",8695
"838",9350
"839",14530
"840",18362
"841",19372
"842",28979
"843",31627
"844",35977
"845",911
"846",1535
"847",2149
"848",3889
"849",5864
"850",7090
"851",23474
"852",33718
"853",34969
"854",30200
"855",30989
"856",32344
"857",33380
"858",34213
"859",2452
"860",3657
"861",4270
"862",5726
"863",12556
"864",13544
"865",16981
"866",17730
"867",23611
"868",34107
"869",763
"870",1375
"871",5671
"872",6931
"873",11232
"874",15908
"875",17504
"876",19378
"877",24206
"878",26340
"879",674
"880",1287
"881",1901
"882",2760
"883",3374
"884",3985
"885",7487
"886",11033
"887",17635
"888",23752
"889",30566
"890",737
"891",1349
"892",1962
"893",3183
"894",5418
"895",6061
"896",8541
"897",13767
"898",23856
"899",25676
"900",28419
"901",35667
"902",711
"903",1326
"904",2219
"905",5734
"906",6348
"907",7114
"908",9542
"909",12238
"910",19691
"911",25259
"912",29215
"913",868
"914",1481
"915",2369
"916",3626
"917",5447
"918",35296
"919",5510
"920",6124
"921",7148
"922",10007
"923",10830
"924",12792
"925",13442
"926",17941
"927",29035
