"","fault","ClassPer"
"540",1,69.4467
"541",5,99.6672
"542",1,68.196
"543",2,98.9247
"544",3,84.0754
"545",2,88.3256
"546",6,86.9344
"547",1,100
"548",2,86.5515
"549",4,89.1392
"550",3,82.6964
"551",3,92.2145
"552",3,95.2414
"553",3,99.6579
"554",2,94.9958
"555",5,95.17
"556",3,100
"557",5,99.3355
"558",4,74.2151
"559",3,83.666
"560",2,70.5088
"561",1,99.7783
"562",2,98.4013
"563",2,90.6035
"564",2,91.796
"565",2,91.8995
"566",3,81.6497
"567",2,98.9247
"568",5,99.5001
"569",4,99.6262
"570",5,98.0087
"571",3,81.5551
"572",4,100
"573",1,100
"574",3,79.2341
"575",3,78.0421
"576",1,99.7783
"577",1,99.7783
"578",3,83.666
"579",4,99.3339
"580",4,100
"581",6,100
"582",2,90.1891
"583",5,99.8335
"584",5,99.3355
"585",2,100
"586",3,100
"587",1,99.5565
"588",4,96.8942
"589",6,96.7993
"590",1,100
"591",2,100
"592",5,98.3421
"593",2,98.9247
"594",2,95.4206
"595",3,100
"596",2,100
"597",3,90.9553
"598",6,81.5551
"599",4,96.5162
"600",3,82.9411
"601",6,86.2647
"602",6,69.1169
"603",3,95.6235
"604",1,70.7107
"605",1,74.6008
"606",5,99.6667
"607",4,99.6667
"608",3,86.3561
"609",3,99.486
"610",6,81.0777
"611",1,92.391
"612",2,68.6597
"613",1,98.9011
"614",5,99.5001
"615",6,89.9662
"616",2,100
"617",6,100
"618",3,100
"619",2,98.9247
"620",4,85.4306
"621",2,84.3345
"622",4,68.7773
"623",2,83.8664
"624",6,90.6192
"625",3,100
"626",3,93.262
"627",6,93.9661
"628",5,99.1679
"629",1,84.5154
"630",5,99.8335
"631",1,99.7783
"632",3,83.666
"633",2,98.4013
"634",6,86.6329
"635",4,94.9718
"636",1,83.666
"637",3,89.0294
"638",3,83.1727
"639",2,85.0117
"640",4,72.4169
"641",1,100
"642",2,95.4257
"643",2,98.3985
"644",2,99.4681
"645",4,99.8335
"646",5,99.5012
"647",5,99.5012
"648",6,100
"649",2,84.8995
"650",5,99.3333
"651",5,99.6672
"652",6,100
"653",6,100
"654",6,73.822
"655",3,100
"656",3,100
"657",5,99.6672
"658",2,98.9436
"659",6,94.2018
"660",2,97.413
"661",3,79.8465
"662",1,92.5466
"663",2,73.6601
"664",3,94.6841
"665",4,73.6506
"666",6,83.6305
"667",1,99.5565
"668",3,68.313
"669",2,92.143
"670",2,98.9436
"671",1,100
"672",4,99.438
"673",2,95.8725
"674",1,99.7783
"675",2,89.5998
"676",2,92.196
"677",6,82.4627
"678",6,91.4228
"679",3,81.0914
"680",2,69.7146
"681",2,93.4873
"682",3,88.4103
"683",3,89.8398
"684",6,95.5098
"685",6,93.7582
"686",3,99.486
"687",2,97.3688
"688",6,76.5144
"689",6,93.3409
"690",2,84.724
"691",6,98.4673
"692",3,82.0155
"693",4,99.438
"694",6,87.3972
"695",1,84.5154
"696",6,94.4317
"697",4,98.6689
"698",4,99.8335
"699",6,98.4673
"700",4,70.2408
"701",3,88.351
"702",3,99.486
"703",3,95.1855
"704",3,91.5219
"705",6,82.3013
"706",4,98.8771
"707",1,100
"708",2,80.0309
"709",4,69.3927
"710",4,90.5188
"711",3,82.8876
"712",3,79.9198
"713",2,83.9811
"714",5,93.6994
"715",3,100
"716",2,98.9247
"717",5,99.3333
"718",3,96.9758
"719",2,100
"720",4,99.6672
"721",2,75.2506
"722",3,87.3812
"723",3,81.0103
"724",4,98.5065
"725",4,95.27
"726",6,75.6782
"727",6,99.486
"728",2,89.9287
"729",6,96.9773
"730",3,99.8289
"731",2,91.3012
"732",4,100
"733",4,99.3339
"734",3,85.2183
"735",3,83.5227
"736",6,75.1855
"737",4,97.5996
"738",2,83.4886
"739",4,75.3316
"740",1,99.7783
"741",3,99.8288
"742",4,99.8335
"743",5,99.5012
"744",5,99.8335
"745",5,98.1777
"746",1,71.4286
"747",5,99.5012
"748",5,100
"749",2,71.8512
"750",2,100
"751",6,85.5922
"752",2,98.4013
"753",3,96.9299
"754",6,76.1023
"755",3,96.5968
"756",1,84.5154
"757",4,83.805
"758",2,70.4278
"759",2,89.2858
"760",4,98.6684
"761",6,98.6409
"762",1,91.3708
"763",4,100
"764",1,84.5154
"765",2,100
"766",6,100
"767",2,92.4008
"768",2,83.4888
"769",6,90.462
"770",2,95.0975
"771",2,97.5824
"772",6,91.594
"773",2,98.507
"774",3,100
"775",2,98.9247
"776",1,81.6876
"777",1,73.634
"778",6,83.666
"779",4,80.7237
"780",3,95.4908
"781",3,90.1997
"782",4,94.1506
"783",3,99.3174
"784",1,84.5154
"785",5,99.0005
"786",3,99.6579
"787",4,99.5001
"788",4,99.6667
"789",4,99.8128
"790",3,96.1963
"791",4,82.4673
"792",1,99.7783
"793",2,79.4943
"794",2,85.2512
"795",5,99.5012
"796",5,97.183
"797",6,75.397
"798",2,98.9247
"799",4,99.8335
"800",2,96.8633
"801",4,99.4401
"802",3,89.3716
"803",3,98.4673
"804",4,87.9708
"805",4,94.9668
"806",2,88.6357
"807",1,99.7783
"808",6,82.2219
"809",1,99.7783
"810",2,87.5205
"811",5,99.3339
"812",1,76.5386
"813",4,99.8335
"814",5,99.8335
"815",2,86.7852
"816",3,98.4077
"817",6,92.3086
"818",3,97.7865
"819",4,79.2386
"820",4,91.9487
"821",2,91.3548
"822",1,100
"823",1,90.0488
"824",2,83.8664
"825",3,100
"826",5,98.0022
"827",1,76.0618
"828",6,99.486
"829",3,98.4736
"830",6,100
"831",5,99.1668
"832",5,98.6672
"833",2,98.9285
"834",1,71.4446
"835",3,91.7239
"836",4,96.6423
"837",4,97.7727
"838",2,83.2735
"839",3,92.0355
"840",6,88.0973
"841",1,84.5154
"842",5,98.8334
"843",1,84.5154
